infraclass,cohort,order,suborder,superfamily,family,subfamily,tribe,genus,species,iBite,ID,specimen,amplification,head.w,head.h,head.l,th.w,body.l,wing.l,latitude,longitude,country
Neoptera,Endopterygota,Coleoptera,Polyphaga,Curculionoidea,Anthribidae,Anthribinae,Platyrhinini,Platyrhinus,resinosus,408,Platyrhinus_resinosus,0481,2.0,2.65,2.19,2.98,3.08,12.02,6.67,50.415942771744,7.28779899088645,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Curculionoidea,Anthribidae,Anthribinae,Platyrhinini,Platyrhinus,resinosus,409,Platyrhinus_resinosus,0481,2.0,2.65,2.19,2.98,3.08,12.02,6.67,50.415942771744,7.28779899088645,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Bostrichoidea,Bostrichidae,Bostrichinae,Bostrichini,Bostrychopsis,jesuita,1226,Bostrychopsis_jesuita,1299,2.0,4.39,3.08,4.02,5.73,18.71,13.84,-19.047743,146.39462,Australia
Neoptera,Endopterygota,Coleoptera,Polyphaga,Bostrichoidea,Bostrichidae,Bostrichinae,Bostrichini,Bostrychopsis,jesuita,1227,Bostrychopsis_jesuita,1300,2.0,3.3,2.09,2.4,4.16,13.87,9.94,-19.047743,146.39462,Australia
Neoptera,Endopterygota,Coleoptera,Polyphaga,Bostrichoidea,Bostrichidae,Bostrichinae,Bostrichini,Bostrychopsis,sp_AUS1,1299,Bostrychopsis_sp_AUS1,1372,2.0,3.3,2.44,2.58,4.15,13.77,9.93,-25.625889,149.79313,Australia
Neoptera,Endopterygota,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Agrilinae,Agrilini,Agrilus,biguttatus,2575,Agrilus_biguttatus,2310,2.0,2.36,2.0,1.8,2.75,11.0,9.11,50.7789194021168,7.11423033210888,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Agrilinae,Agrilini,Agrilus,biguttatus,2577,Agrilus_biguttatus,2310,20.0,2.36,2.0,1.8,2.75,11.0,9.11,50.7789194021168,7.11423033210888,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Agrilinae,Agrilini,Agrilus,biguttatus,2578,Agrilus_biguttatus,2310,2.0,2.36,2.0,1.8,2.75,11.0,9.11,50.7789194021168,7.11423033210888,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,x,x,Buprestidae,sp_Crete1,871,Buprestidae_sp_Crete1,0893,2.0,4.22,4.25,3.24,8.41,22.06,19.67,35.181774891294,24.9815750290872,Greece:Crete
Neoptera,Endopterygota,Coleoptera,Polyphaga,Byrrhoidea,Byrrhidae,-,-,Byrrhus,glabratus,928,Byrrhus_glabratus,0937,2.0,2.95,3.07,4.8,6.46,12.49,9.53,46.389694,14.506028,Slovenia
Neoptera,Endopterygota,Coleoptera,Polyphaga,Byrrhoidea,Byrrhidae,-,-,Byrrhus,glabratus,929,Byrrhus_glabratus,0937,2.0,2.95,3.07,4.8,6.46,12.49,9.53,46.389694,14.506028,Slovenia
Neoptera,Endopterygota,Coleoptera,Polyphaga,Byrrhoidea,Byrrhidae,-,-,Byrrhus,glabratus,2426,Byrrhus_glabratus,0937,2.0,2.95,3.07,4.8,6.46,12.49,9.53,46.389694,14.506028,Slovenia
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,cryptica,1705,Cantharis_cryptica,1754,20.0,1.62,0.92,1.37,1.62,8.23,5.57,50.9507492509501,7.11959373771879,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,557,Cantharis_fusca,0604,2.0,2.7,1.55,1.97,2.9,17.35,10.78,50.687880943686,7.10864606947524,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,558,Cantharis_fusca,0604,2.0,2.7,1.55,1.97,2.9,17.35,10.78,50.687880943686,7.10864606947524,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,559,Cantharis_fusca,0604,2.0,2.7,1.55,1.97,2.9,17.35,10.78,50.687880943686,7.10864606947524,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,560,Cantharis_fusca,0604,2.0,2.7,1.55,1.97,2.9,17.35,10.78,50.687880943686,7.10864606947524,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,561,Cantharis_fusca,0604,2.0,2.7,1.55,1.97,2.9,17.35,10.78,50.687880943686,7.10864606947524,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,600,Cantharis_fusca,0638,20.0,2.55,1.48,1.74,2.63,14.45,9.84,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,604,Cantharis_fusca,0642,20.0,2.63,1.28,1.6,2.46,17.59,9.98,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,607,Cantharis_fusca,0647,20.0,2.41,1.26,1.34,2.69,14.77,9.86,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,610,Cantharis_fusca,0649,20.0,2.73,1.08,1.41,2.78,12.09,10.04,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,611,Cantharis_fusca,0649,20.0,2.73,1.08,1.41,2.78,12.09,10.04,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,613,Cantharis_fusca,0650,20.0,2.7,1.6,1.69,2.8,20.5,10.37,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,614,Cantharis_fusca,0651,20.0,2.61,1.24,1.45,2.49,17.27,10.44,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,615,Cantharis_fusca,0652,20.0,2.6,1.43,2.1,2.66,15.11,10.44,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,627,Cantharis_fusca,0668,20.0,2.94,1.83,2.04,3.31,17.3,11.63,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,2230,Cantharis_fusca,0604,2.0,2.7,1.55,1.97,2.9,17.35,10.78,50.687880943686,7.10864606947524,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,2258,Cantharis_fusca,0649,20.0,2.73,1.08,1.41,2.78,12.09,10.04,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,2259,Cantharis_fusca,0649,20.0,2.73,1.08,1.41,2.78,12.09,10.04,50.8193666930251,7.19342602959187,Germany
Neoptera,Endopterygota,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Cantharini,Cantharis,fusca,2260,Cantharis_fusca,0649,20.0,2.73,1.08,1.41,2.78,12.09,10.04,50.8193666930251,7.19342602959187,Germany
