infraclass,cohort,order,suborder,superfamily,family,subfamily,tribe,genus,species,iBite,ID,specimen,amplification,head.w,head.h,head.l,th.w,body.l,wing.l,latitude,longitude,country,head_w_body_l_ratio,head_volume,wing_body_ratio,mean_distance_to_others,distance_to_reference,kriging_iBite,kriging_variance,cluster
0,2,0,0,5,10,32,0,-1.0644044033603677,0.7644061536251876,1125,90,1198,2.0,-0.2629862539048829,-0.14267708234132379,-0.7669511434957829,-0.43051439087161947,0.04355208524253427,0.6602283382814114,-1.2351320293219954,1.4250628921857187,0,0.1486111111111111,17.004974999999998,1.0657407407407407,10771.47514646516,15040.811233335035,1800.676752765775,-8296225.721212281,0
0,2,0,0,5,10,32,0,-1.0644044033603677,0.7644061536251876,2332,90,1198,2.0,-0.2629862539048829,-0.14267708234132379,-0.7669511434957829,-0.43051439087161947,0.04355208524253427,0.6602283382814114,-1.2351320293219954,1.4250628921857187,0,0.1486111111111111,17.004974999999998,1.0657407407407407,10771.47514646516,15040.811233335035,1800.676752765775,-8296225.721212281,0
0,2,0,0,5,10,43,0,1.0500438771384712,0.776394513751141,1140,403,1213,2.0,-0.12764573759436645,-0.07660481762071761,-0.7346804747598564,-0.2901333583636017,0.3486205346111582,0.762769418283625,-1.2351320293219954,1.4250628921857187,0,0.13433991482771973,19.937231999999998,0.9415408439798685,10771.47514646516,15040.811233335035,1800.676752765775,-8296225.721212281,0
0,2,0,0,5,10,43,101,1.0500438771384712,0.7644061536251876,1267,402,1340,2.0,-0.184905186802662,0.01667367374955005,-0.7217722072654859,-0.09445070698878912,-0.04804056976884958,0.6870467745896826,-1.4029203296880215,1.4626176456655096,0,0.16527299557304476,20.90592,1.1490408263649778,11026.011492607498,15689.281198372559,-55.43911439055147,-9738381.550881326,0
0,2,0,0,5,10,118,0,1.0034701264666905,1.1839987580335594,1675,393,1731,2.0,-0.24737004048443859,-0.08826462904200098,-0.9799375571528971,0.22459709416579665,-0.3199337267711458,-1.1555375552962481,0.9773034478677937,-0.27984745731412225,4,0.19565217391304351,14.278680000000001,0.0,6294.404457957953,511.15273111882533,2887.5121771232275,-1971019.2472266015,1
0,2,0,0,5,10,118,0,1.0034701264666905,1.1839987580335594,1676,393,1732,2.0,-0.32024570311317824,-0.09992444046328453,-1.025116493383194,0.4160257748585482,-0.3271457468507822,-1.1555375552962481,0.9773034478677937,-0.27984745731412225,4,0.18833535844471447,12.81168,0.0,6294.404457957953,511.15273111882533,2887.5121771232275,-1971019.2472266015,1
0,2,0,0,5,10,118,0,1.0034701264666905,1.1839987580335594,1677,393,1733,2.0,0.05974882345096381,0.028333485170833422,-0.70240980602393,0.3352003318993863,-0.023519701498085216,-1.1555375552962481,0.9773034478677937,-0.27984745731412225,4,0.185292694726657,24.449571,0.0,6294.404457957953,511.15273111882533,2887.5121771232275,-1971019.2472266015,1
0,2,0,0,5,10,118,0,1.0034701264666905,1.1839987580335594,1678,393,1734,2.0,-0.06518088391258985,0.005013862328266505,-0.818584213473265,0.292660625078775,-0.07039783201572265,-1.1555375552962481,0.9773034478677937,-0.27984745731412225,4,0.17932067932067933,20.199135,0.0,6294.404457957953,511.15273111882533,2887.5121771232275,-1971019.2472266015,1
0,2,0,0,5,10,118,0,1.0034701264666905,1.1839987580335594,1679,393,1735,2.0,-0.04956467049214553,-0.049398590971056124,-0.9863916909000824,0.30116856644289713,0.006049580828424211,0.4512022905845914,0.9773034478677937,-0.27984745731412225,4,0.17172675521821634,16.297602,0.9663187855787477,6294.404457957953,511.15273111882533,2887.5121771232275,-1971019.2472266015,1
0,2,0,0,6,11,108,0,-0.9805716521511626,0.7644061536251876,1099,116,1172,2.0,0.8769973257875434,0.7395819818691236,-0.19253323999629268,0.9350101980700076,0.8498559301458956,-0.8889307472904926,-1.2351456695275018,1.4250116318806936,0,0.16473459426479561,75.11616,0.10311165344722391,10771.448830838392,15040.628747703819,-13124.805166049073,-30135731.732584294,0
0,2,0,0,6,11,108,0,-0.9805716521511626,0.7644061536251876,1135,116,1208,2.0,0.9759000107836897,0.9572317950664148,-0.12153776877725465,1.2157722630860432,0.8534619401857136,-0.7130333562097723,-1.2351320293219954,1.4250628921857187,0,0.17027109351203168,89.386336,0.17088029241547367,10771.47514646516,15040.811233335035,1800.676752765775,-8296225.721212281,0
0,2,0,0,6,11,108,0,-0.9805716521511626,0.7644061536251876,2334,116,1208,2.0,0.9759000107836897,0.9572317950664148,-0.12153776877725465,1.2157722630860432,0.8534619401857136,-0.7130333562097723,-1.2351320293219954,1.4250628921857187,0,0.17027109351203168,89.386336,0.17088029241547367,10771.47514646516,15040.811233335035,1800.676752765775,-8296225.721212281,0
0,2,0,0,6,11,108,0,0.06268036289672262,-1.3215685082907185,1148,266,1221,2.0,1.2361702344577596,0.6773963209556122,-0.5087857936083716,0.8626926964749682,0.7712449112778577,0.9710066884419665,-1.2351916555601445,1.4250787138760197,0,0.19217418744083306,66.264072,0.8507415588513727,10771.548535669546,15041.053248931827,1148.0000000027896,9.842024874938025e-07,0
0,2,0,0,6,11,108,0,0.06268036289672262,-0.29056953745871894,1072,267,1145,2.0,1.0487756734124296,1.4119644404964693,0.13662758111015658,1.2030103510398595,1.4340295565964527,1.2486563819864218,-1.2352110895422617,1.4250297208537168,0,0.14016634050880628,125.87377500000001,0.7455968688845401,10771.523024108224,15040.897443835278,-837.603690034038,-3441624.281426646,0
0,2,0,0,6,50,87,0,0.27691961598691334,0.7644061536251876,1242,293,1315,2.0,-0.695034825203839,-0.7917399181261023,-0.40551965365340703,-0.6729907197491046,-0.6581774685060979,0.24138746534929278,-1.4029203296880215,1.4626176456655096,0,0.2005054759898905,8.235276,1.4919966301600676,11026.011492607498,15689.281198372559,-55.43911439055147,-9738381.550881326,0
